50 200
30 22 27
29 2 44
-21 36 -9
43 29 -41
-17 -4 38
48 -33 -1
14 37 20
16 38 49
-1 -4 -46
5 2 20
-27 7 -12
-31 12 -32
-21 -48 -38
41 -19 -49
-30 47 -7
32 -8 29
-21 -25 38
-1 -34 -32
39 5 -9
19 -14 -7
-2 -34 20
45 -6 34
5 -49 9
-22 25 38
35 -19 39
-16 14 -23
3 8 13
23 -12 10
28 -44 7
46 7 34
-20 39 9
-21 -2 42
48 -2 50
-49 -17 42
-16 -3 49
-24 -44 10
-8 45 -41
25 -1 -23
39 -38 -25
28 -24 19
23 -46 6
2 28 -34
-24 -26 -8
45 3 -5
-50 37 48
7 14 27
39 -1 -14
34 19 46
41 -5 -10
17 16 25
48 29 -2
-11 -26 33
-23 -36 -25
-46 -33 31
23 42 -50
-45 -18 -9
18 -17 2
-42 41 1
-42 9 -31
16 18 25
13 -14 -11
-47 7 30
-19 36 -10
32 -4 -38
8 -16 5
-21 44 -9
-10 30 -38
-4 -3 -46
15 26 9
-3 -14 38
-12 35 -39
22 -15 35
41 -18 23
-7 26 -45
-34 -15 -13
-39 -25 -32
-38 49 40
7 -12 39
-11 -29 35
10 -8 42
28 -13 5
-2 -50 -12
14 -25 -12
-47 -11 -3
13 5 18
25 -36 8
-40 -48 -10
8 -46 28
8 9 11
-48 -22 -40
5 50 -9
-18 23 35
45 24 -25
-22 46 48
-40 -31 15
-7 -32 -46
40 -23 20
20 8 -48
9 17 12
-18 -37 -11
-37 -24 -41
20 -29 -19
-6 3 2
-28 3 -46
-26 33 39
16 -30 -22
-18 11 38
-5 2 -38
24 -40 21
-25 -6 -33
2 35 -45
-9 -18 39
42 21 -4
-43 30 -4
4 48 -38
13 35 -23
6 -42 43
-38 -33 39
-17 28 47
42 2 -14
26 -45 -4
-19 -32 2
6 -2 -23
34 44 -29
-4 -6 -18
18 22 -41
45 -19 32
31 -34 -11
-19 13 -20
23 33 -6
18 -15 20
21 -33 40
2 -3 -10
-8 15 19
-1 -44 22
-45 -8 49
-25 50 14
16 -4 50
36 -30 -10
-45 5 39
-15 23 7
-8 48 -7
-28 -21 -41
4 12 -2
-36 -33 -30
30 -27 -39
33 38 -24
-20 -25 -28
11 9 -23
8 -34 -29
3 -20 -28
35 -33 47
50 10 -9
-42 -33 3
-47 31 -3
16 25 30
-17 -35 -45
-38 -46 32
-41 31 -35
-3 48 2
43 7 -26
-31 26 24
-25 -16 19
-37 1 38
-50 12 47
-11 -9 1
45 32 34
32 -20 -37
13 3 12
-31 20 -6
49 -6 -35
30 40 -26
40 -29 1
-36 -39 49
11 9 -29
-7 -39 13
-23 -7 40
6 1 -19
20 -18 -12
4 -24 -16
15 -31 -21
47 -8 -41
29 7 27
6 -9 38
-45 25 -42
48 16 -42
-29 38 -15
49 20 7
5 34 -48
-49 -47 42
-33 42 5
-3 33 -5
28 -47 35
-49 33 27
25 -46 22
-33 35 50
-37 29 39
13 -17 -34
13 -19 10
-44 -25 -48
