15 161
-10 11 14
11 -8 -13
-8 -14 3
-4 8 14
-12 9 8
15 -8 -12
1 -14 -10
4 -13 -7
8 2 -5
-5 1 13
8 6 3
9 -11 -6
7 -6 -3
9 14 -6
-12 2 -4
-8 3 -10
8 15 10
-7 -4 -10
9 -2 -7
-2 -9 10
13 11 -8
15 -13 6
-9 12 -4
-10 -5 -1
-5 -7 -4
4 8 -12
-11 4 -3
-15 10 1
5 15 -3
-3 4 13
11 4 -6
-1 11 -12
-12 -9 -11
11 15 -12
-12 3 6
-13 2 1
-13 -7 -6
7 -5 -9
-14 7 5
9 4 13
2 -11 6
-15 -2 -4
10 -4 -15
5 -15 -8
-4 10 15
10 7 3
5 -6 -11
10 -14 11
-2 -4 10
6 10 -3
-1 12 2
-8 -5 -15
-4 12 10
-4 -10 12
8 7 15
-10 13 -5
4 15 -5
-12 -7 6
-7 -4 8
-13 -12 3
-2 -7 11
4 -5 14
6 1 -2
-1 -14 -5
9 14 15
4 -3 14
1 9 -8
10 13 -1
2 1 -7
5 13 -1
-10 2 -14
-7 -15 -14
7 -4 -8
-3 1 9
10 -1 12
5 -14 4
-1 14 11
-9 4 10
-15 -1 8
7 2 4
14 -1 -10
-6 2 -12
-8 1 -7
2 -13 15
4 -3 -7
-8 -6 11
9 -12 -10
9 -4 2
-3 -7 -10
-12 15 -11
4 -2 5
-6 -13 12
10 -14 -15
-12 -13 -7
4 -1 -9
4 -3 10
-6 -15 12
-7 2 -9
1 -7 -3
-2 -15 12
11 -12 3
3 -5 6
-2 12 13
3 -10 15
6 -11 -15
10 -1 -11
6 10 7
-14 15 1
9 -6 1
-4 -6 5
-9 7 8
-15 -14 -12
-2 -15 7
-8 4 -9
-11 14 1
13 -7 14
-9 -3 -10
-12 15 -1
-12 9 2
-2 -12 -8
-1 -6 10
15 4 -5
13 -1 5
7 1 -12
-12 -2 -3
4 -7 3
11 5 6
-10 4 12
6 15 5
-3 12 -5
-13 -7 -1
-8 7 -9
-12 -11 -7
6 -13 7
9 10 5
-10 -3 1
-6 -2 8
-7 8 -1
-7 12 -8
-1 12 14
15 -2 10
1 14 7
-14 -3 10
-13 -6 -1
-6 -4 -14
15 -7 5
-15 -7 -9
15 3 4
9 -2 14
12 -6 -7
13 7 -6
10 11 2
2 -8 -5
6 -8 -7
12 -9 -3
8 1 -3
15 13 -2
12 1 -9
14 -7 5
-9 -1 13
-5 8 -12
